time, Quad1.Est.E.X, Quad2.Est.E.X, Quad3.Est.E.X, Quad4.Est.E.X, Quad5.Est.E.X, Quad6.Est.E.X, Quad7.Est.E.X, Quad8.Est.E.X, Quad9.Est.E.X, Quad10.Est.E.X, Quad1.Est.S.X, Quad1.Est.S.X
0.005000,-0.000002,0.000006,0.000002,0.000006,0.000005,-0.000004,0.000010,0.000003,-0.000003,0.000007,0.100077,-0.100077
0.010000,0.000007,0.000017,0.000010,0.000011,0.000013,-0.000005,0.000019,0.000000,-0.000003,0.000018,0.100130,-0.100130
0.015000,0.000018,0.000027,0.000026,0.000020,0.000033,-0.000008,0.000018,-0.000013,-0.000005,0.000026,0.100213,-0.100213
0.020000,0.000012,0.000037,0.000035,0.000032,0.000050,-0.000015,0.000011,-0.000025,-0.000006,0.000037,0.100270,-0.100270
0.025000,0.000008,0.000062,0.000051,0.000053,0.000069,-0.000037,-0.000004,-0.000040,-0.000007,0.000059,0.100358,-0.100358
0.030000,0.000004,0.000084,0.000064,0.000068,0.000080,-0.000050,-0.000017,-0.000057,-0.000005,0.000070,0.100419,-0.100419
0.035000,-0.000017,0.000108,0.000085,0.000092,0.000093,-0.000081,-0.000038,-0.000084,-0.000008,0.000082,0.100514,-0.100514
0.040000,-0.000029,0.000115,0.000105,0.000111,0.000093,-0.000108,-0.000059,-0.000091,-0.000021,0.000084,0.100579,-0.100579
0.045000,-0.000045,0.000124,0.000145,0.000135,0.000097,-0.000154,-0.000088,-0.000084,-0.000050,0.000097,0.100679,-0.100679
0.050000,-0.000052,0.000114,0.000174,0.000149,0.000095,-0.000188,-0.000111,-0.000078,-0.000064,0.000115,0.100748,-0.100748
0.055000,-0.000081,0.000084,0.000210,0.000179,0.000092,-0.000241,-0.000145,-0.000071,-0.000098,0.000146,0.100854,-0.100854
0.060000,-0.000101,0.000066,0.000231,0.000192,0.000086,-0.000277,-0.000173,-0.000067,-0.000117,0.000162,0.100927,-0.100927
0.065000,-0.000135,0.000039,0.000269,0.000208,0.000074,-0.000345,-0.000222,-0.000057,-0.000139,0.000182,0.101039,-0.101039
0.070000,-0.000159,0.000027,0.000304,0.000224,0.000077,-0.000395,-0.000254,-0.000043,-0.000145,0.000198,0.101115,-0.101115
0.075000,-0.000181,0.000024,0.000356,0.000259,0.000085,-0.000475,-0.000305,-0.000011,-0.000156,0.000210,0.101233,-0.101233
0.080000,-0.000193,0.000024,0.000393,0.000279,0.000086,-0.000527,-0.000339,0.000017,-0.000179,0.000219,0.101313,-0.101313
0.085000,-0.000220,0.000015,0.000459,0.000305,0.000073,-0.000609,-0.000392,0.000061,-0.000231,0.000239,0.101437,-0.101437
0.090000,-0.000240,0.000004,0.000507,0.000324,0.000070,-0.000668,-0.000431,0.000096,-0.000272,0.000252,0.101521,-0.101521
0.095000,-0.000275,-0.000014,0.000591,0.000354,0.000060,-0.000760,-0.000487,0.000154,-0.000330,0.000274,0.101651,-0.101651
