time, Quad1.Est.E.VX, Quad2.Est.E.VX, Quad3.Est.E.VX, Quad4.Est.E.VX, Quad5.Est.E.VX, Quad6.Est.E.VX, Quad7.Est.E.VX, Quad8.Est.E.VX, Quad9.Est.E.VX, Quad10.Est.E.VX, Quad1.Est.S.VX, Quad1.Est.S.VX
0.005000,0.002000,0.002532,0.002042,0.001163,0.001140,0.000829,0.002913,-0.000567,-0.000431,0.003067,0.100075,-0.100075
0.010000,0.002834,0.001626,0.002529,0.001406,0.003067,-0.000015,0.001637,-0.001745,-0.000601,0.001463,0.100125,-0.100125
0.015000,-0.000414,0.001939,0.002301,0.002878,0.004015,-0.000982,-0.001867,-0.002902,-0.000233,0.002494,0.100200,-0.100200
0.020000,-0.002065,0.003466,0.001690,0.004175,0.004190,-0.003190,-0.001549,-0.002295,-0.000817,0.003668,0.100250,-0.100250
0.025000,0.000217,0.004614,0.003154,0.003351,0.002047,-0.003768,-0.003042,-0.003236,0.000463,0.002991,0.100324,-0.100324
0.030000,-0.002926,0.004866,0.003369,0.004291,0.003200,-0.004503,-0.004019,-0.004408,-0.000131,0.002467,0.100374,-0.100374
0.035000,-0.003762,0.001427,0.004562,0.005461,-0.000193,-0.005819,-0.004805,-0.002295,-0.001605,0.000420,0.100449,-0.100449
0.040000,-0.003479,0.002375,0.006496,0.004095,0.000830,-0.007562,-0.004691,0.000861,-0.005613,0.001554,0.100499,-0.100499
0.045000,-0.000820,-0.001949,0.006886,0.003234,-0.000349,-0.008540,-0.006014,0.001328,-0.002994,0.004523,0.100573,-0.100573
0.050000,-0.003515,-0.004649,0.006288,0.004755,-0.000663,-0.007929,-0.004823,0.001078,-0.005171,0.005090,0.100623,-0.100623
0.055000,-0.005091,-0.004762,0.005359,0.003650,-0.001203,-0.009233,-0.007181,0.001800,-0.005154,0.003938,0.100698,-0.100698
0.060000,-0.005657,-0.004832,0.005987,0.001750,-0.002121,-0.010189,-0.007181,0.001011,-0.003631,0.002686,0.100747,-0.100747
0.065000,-0.006407,-0.003175,0.008393,0.003014,0.000060,-0.013383,-0.008428,0.002616,-0.001164,0.004774,0.100822,-0.100822
0.070000,-0.004002,-0.000833,0.007729,0.005732,0.000945,-0.012876,-0.008584,0.004647,-0.001051,0.002181,0.100871,-0.100871
0.075000,-0.002712,-0.000266,0.009486,0.004736,-0.000054,-0.013836,-0.007445,0.007535,-0.005279,0.002205,0.100946,-0.100946
0.080000,-0.004237,-0.001476,0.010677,0.004892,-0.001320,-0.012826,-0.008810,0.007289,-0.007815,0.002576,0.100995,-0.100995
0.085000,-0.005548,-0.002467,0.012060,0.004857,-0.001345,-0.014990,-0.009847,0.008857,-0.010042,0.003052,0.101069,-0.101069
0.090000,-0.004755,-0.003786,0.012408,0.005283,-0.002095,-0.014950,-0.010337,0.008653,-0.009289,0.003362,0.101119,-0.101119
0.095000,-0.005859,-0.002345,0.017001,0.004362,-0.002020,-0.016345,-0.007504,0.011233,-0.010201,0.002003,0.101193,-0.101193
0.100000,-0.009477,-0.003003,0.015748,0.006153,-0.000372,-0.015079,-0.006740,0.009979,-0.007589,0.000549,0.101242,-0.101242
0.105000,-0.010923,-0.003051,0.015893,0.008151,0.001832,-0.013011,-0.005693,0.010913,-0.008960,0.001517,0.101316,-0.101316
0.110000,-0.012819,-0.000522,0.017173,0.007143,0.002975,-0.011492,-0.005507,0.012059,-0.008070,0.000747,0.101366,-0.101366
0.115000,-0.017032,-0.002249,0.016717,0.009340,0.002507,-0.010455,-0.003514,0.013742,-0.008802,0.000599,0.101440,-0.101440
0.120000,-0.018309,-0.003921,0.017854,0.010666,0.005640,-0.013194,-0.004472,0.013063,-0.007883,-0.000302,0.101489,-0.101489
0.125000,-0.019936,-0.003943,0.018078,0.009252,0.003874,-0.012848,-0.006039,0.012342,-0.008040,-0.001993,0.101563,-0.101563
0.130000,-0.020196,-0.004902,0.019927,0.010424,0.003610,-0.013314,-0.009571,0.014906,-0.009101,-0.001363,0.101612,-0.101612
